DS_CAST_NO,DS_DS_NO,HM Wt,HM Temp,HM S,Aim S,Act Mg,Act Lime,ADS
T92853,1,160.3,1365.0,0.021,0.012,47,222,0.007
T91863,2,169.9,1384.0,0.062,0.012,60,279,0.015
T94763,2,168.0,1339.0,0.07,0.012,59,292,0.015
T94304,1,155.4,1340.0,0.042,0.012,82,299,0.022
T91769,1,169.3,1364.0,0.067,0.012,79,406,0.023
T96915,2,164.4,1348.0,0.033,0.012,77,200,0.015
T99226,1,173.9,1395.0,0.069,0.012,58,295,0.012
T99838,1,160.1,1344.0,0.063,0.012,55,267,0.011
T97235,1,160.7,1430.0,0.064,0.012,50,370,0.019
T96311,1,165.8,1366.0,0.027,0.012,74,276,0.016
T98041,2,162.1,1373.0,0.064,0.012,51,396,0.016
T95931,2,158.9,1379.0,0.067,0.012,78,316,0.02
T97736,1,177.9,1368.0,0.061,0.012,61,306,0.016
T91878,1,174.9,1399.0,0.025,0.012,63,289,0.014
T98099,1,158.3,1374.0,0.024,0.012,66,300,0.014
T97938,2,166.5,1357.0,0.038,0.012,54,227,0.011
T92757,2,154.3,1336.0,0.055,0.012,80,244,0.017
T96249,1,176.9,1380.0,0.021,0.012,56,289,0.012
T97396,1,170.3,1393.0,0.068,0.012,66,356,0.021
T98994,1,172.0,1338.0,0.046,0.012,82,370,0.021
T97910,2,163.2,1360.0,0.038,0.012,46,232,0.01
T99006,1,173.2,1394.0,0.048,0.012,53,367,0.015
T91775,1,173.2,1349.0,0.056,0.012,63,331,0.013
T91863,1,163.8,1348.0,0.034,0.012,69,352,0.019
T98574,1,157.0,1366.0,0.035,0.012,76,314,0.017
T98526,1,168.0,1403.0,0.043,0.012,71,368,0.018
T93047,2,164.1,1393.0,0.053,0.012,75,282,0.019
T94890,2,178.0,1403.0,0.055,0.012,74,312,0.021
T94943,2,165.4,1345.0,0.036,0.012,76,264,0.017
T96311,1,165.7,1354.0,0.036,0.012,53,241,0.011
T98916,2,170.6,1366.0,0.044,0.012,63,200,0.013
T97396,1,165.0,1362.0,0.047,0.012,68,280,0.017
T97776,2,169.9,1351.0,0.052,0.012,72,320,0.018
T95555,2,161.2,1382.0,0.051,0.012,66,362,0.02
T92528,1,157.2,1329.0,0.039,0.012,66,382,0.02
T93062,1,158.6,,0.035,0.012,63,439,0.022
T97374,1,162.6,1412.0,0.035,0.012,69,296,0.015
T97546,2,165.8,1372.0,0.052,0.012,97,288,0.022
T91863,1,168.5,1349.0,0.042,0.012,70,497,0.025
T98555,2,168.2,1338.0,0.027,0.012,56,322,0.012
T91189,2,165.1,1379.0,0.02,0.012,81,267,0.016
T97585,2,157.5,1413.0,0.021,0.012,48,280,0.01
T92853,1,169.9,1375.0,0.063,0.012,73,286,0.018
T94556,1,154.5,1362.0,0.043,0.012,70,353,0.02
T96450,1,156.8,1351.0,0.053,0.012,89,308,0.023
T99901,2,165.3,1333.0,0.066,0.012,72,303,0.017
T91502,2,170.6,1377.0,0.026,0.012,87,368,0.021
T91698,1,169.4,1330.0,0.042,0.012,70,304,0.018
T92291,2,164.3,1393.0,0.047,0.012,74,302,0.019
T96530,2,168.1,,0.062,0.012,62,278,0.02
T91860,2,157.5,1365.0,0.07,0.012,65,372,0.022
T94510,1,161.1,1386.0,0.056,0.012,77,367,0.019
T96276,2,161.2,1374.0,0.052,0.012,84,336,0.021
T94157,2,158.2,1386.0,0.066,0.012,48,314,0.014
T94561,1,162.5,1392.0,0.062,0.012,94,380,0.025
T96892,1,163.5,1364.0,0.063,0.012,75,241,0.017
T99392,1,161.8,1338.0,0.02,0.012,65,381,0.018
T91466,1,163.2,1426.0,0.046,0.012,75,343,0.018
T94104,1,145.0,1365.0,0.059,0.012,63,264,0.016
T97938,1,167.7,1359.0,0.029,0.012,78,231,0.012
T99571,2,162.2,1381.0,0.058,0.012,78,287,0.016
T99792,2,162.2,1365.0,0.02,0.012,71,314,0.017
T97776,2,155.3,1339.0,0.049,0.012,59,364,0.018
T94581,2,175.9,1340.0,0.063,0.012,70,358,0.02
T95887,1,176.2,1348.0,0.042,0.012,72,348,0.02
T95282,2,153.3,1379.0,0.057,0.012,80,362,0.022
T98989,1,163.4,1353.0,0.047,0.012,63,389,0.016
T97528,1,171.5,1393.0,0.052,0.012,65,420,0.021
T97287,2,162.5,1366.0,0.046,0.012,85,292,0.017
T93612,2,160.8,1368.0,0.044,0.012,90,316,0.024
T93931,1,160.3,1371.0,0.062,0.012,70,260,0.019
T94890,1,167.2,1344.0,0.025,0.012,84,318,0.022
T93695,1,183.3,1402.0,0.049,0.012,69,277,0.017
T97546,1,170.8,1378.0,0.026,0.012,55,396,0.017
T93790,2,157.2,1366.0,0.048,0.012,62,317,0.018
T91466,1,160.6,1357.0,0.068,0.012,61,260,0.016
T92021,2,163.1,1356.0,0.023,0.012,65,287,0.012
T95636,1,159.0,1341.0,0.041,0.012,65,299,0.017
T96172,1,157.7,1337.0,0.06,0.012,95,249,0.024
T99755,1,170.2,1337.0,0.038,0.012,61,322,0.018
T92707,2,161.5,1397.0,0.046,0.012,57,382,0.015
T91502,1,167.6,,0.026,0.012,84,238,0.012
T91775,2,177.5,,0.031,0.012,50,340,0.014
T92757,2,161.3,1402.0,0.054,0.012,73,200,0.017
T97776,2,166.9,1372.0,0.061,0.012,69,357,0.017
T98408,1,157.8,1341.0,0.052,0.012,65,268,0.015
T92998,2,167.9,1384.0,0.062,0.012,59,391,0.019
T93790,2,174.1,1406.0,0.05,0.012,57,369,0.016
T97396,1,173.7,,0.061,0.012,77,343,0.019
T92663,1,165.3,1373.0,0.069,0.012,83,311,0.023
T93747,2,161.4,1382.0,0.024,0.012,62,273,0.013
T96578,2,166.7,1400.0,0.044,0.012,67,335,0.018
T96311,1,165.4,1413.0,0.029,0.012,56,322,0.015
T99322,2,168.2,1346.0,0.043,0.012,71,339,0.021
T97019,2,160.6,1371.0,0.045,0.012,63,273,0.014
T96116,2,162.2,1385.0,0.051,0.012,72,392,0.023
T97374,1,163.5,1374.0,0.042,0.012,68,403,0.02
T97528,2,169.7,1383.0,0.036,0.012,54,299,0.012
T95859,1,170.6,1425.0,0.022,0.012,71,320,0.016
T92495,1,162.0,,0.022,0.012,69,324,0.018
T94152,1,156.9,,0.029,0.012,62,327,0.015
T94763,2,167.5,,0.042,0.012,80,278,0.019
T97184,1,170.1,1414.0,0.041,0.012,68,348,0.017
T99838,2,164.1,1384.0,0.03,0.012,74,262,0.013
T98916,1,160.0,1358.0,0.061,0.012,91,334,0.021
T92585,2,161.7,1391.0,0.054,0.012,92,215,0.019
T92495,2,176.5,1371.0,0.037,0.012,55,353,0.016
T95555,2,166.6,1362.0,0.06,0.012,78,333,0.021
T99154,1,172.1,1353.0,0.069,0.012,67,287,0.018
T95297,2,159.4,1370.0,0.032,0.012,73,342,0.017
T99164,2,173.5,1384.0,0.038,0.012,83,402,0.021
T96892,1,171.3,1374.0,0.07,0.012,78,403,0.022
T96530,1,164.3,,0.027,0.012,68,352,0.016
T95413,2,169.3,1365.0,0.024,0.012,82,348,0.021
T91698,1,174.1,1360.0,0.046,0.012,64,379,0.019
T99004,1,157.2,1380.0,0.043,0.012,72,368,0.019
T99529,1,161.3,1372.0,0.024,0.012,78,274,0.015
T96535,2,168.7,1407.0,0.035,0.012,79,341,0.018
T94152,1,165.1,1361.0,0.041,0.012,49,304,0.012
T97938,2,167.9,1357.0,0.061,0.012,60,418,0.021
T98280,1,169.8,1366.0,0.055,0.012,60,357,0.015
T98408,1,168.5,,0.066,0.012,67,308,0.02
T91663,2,163.2,1354.0,0.037,0.012,78,310,0.021
T92998,1,163.7,1329.0,0.035,0.012,72,242,0.015
T95931,1,175.9,1341.0,0.043,0.012,80,328,0.02
T99838,1,165.6,1367.0,0.02,0.012,91,290,0.02
T98526,1,174.5,1337.0,0.03,0.012,70,331,0.014
T94696,2,175.0,1384.0,0.031,0.012,72,465,0.018
T93911,2,159.5,,0.023,0.012,85,318,0.019
T98554,2,170.1,1353.0,0.043,0.012,58,246,0.011
T92685,2,157.4,1369.0,0.065,0.012,75,299,0.018
T96592,2,176.3,1365.0,0.02,0.012,70,318,0.015
T93062,2,166.3,1325.0,0.051,0.012,52,302,0.011
T96276,2,166.0,1381.0,0.064,0.012,81,332,0.022
T98777,1,158.9,1355.0,0.025,0.012,85,318,0.019
T94304,2,160.8,1346.0,0.066,0.012,81,343,0.024
T91860,2,166.6,1387.0,0.061,0.012,61,333,0.015
T98869,2,165.6,1376.0,0.031,0.012,96,401,0.024
T94556,1,162.3,1393.0,0.065,0.012,82,356,0.021
T91466,2,171.1,1367.0,0.06,0.012,78,378,0.023
T96258,2,165.0,1375.0,0.026,0.012,81,283,0.018
T96530,2,157.9,1390.0,0.062,0.012,77,355,0.023
T97863,1,170.0,1412.0,0.047,0.012,66,356,0.018
T93612,2,156.9,1362.0,0.061,0.012,75,266,0.018
T93790,1,151.5,1376.0,0.051,0.012,77,293,0.02
T97374,1,165.7,1384.0,0.04,0.012,71,332,0.017
T99164,1,157.8,1384.0,0.05,0.012,61,331,0.018
T98392,1,166.2,1357.0,0.052,0.012,72,339,0.017
T98849,2,170.7,1367.0,0.058,0.012,81,317,0.02
T92930,1,171.9,1384.0,0.062,0.012,69,334,0.019
T98099,1,168.5,1374.0,0.053,0.012,83,308,0.02
T95555,2,155.7,1418.0,0.069,0.012,66,320,0.019
T98916,1,160.0,1362.0,0.059,0.012,69,364,0.02
T99110,1,165.0,1350.0,0.066,0.012,49,302,0.013
T93612,1,165.1,1382.0,0.036,0.012,75,364,0.02
T98734,1,158.4,1347.0,0.036,0.012,45,341,0.011
T99164,1,161.8,1359.0,0.038,0.012,70,394,0.017
T95488,1,170.7,1372.0,0.042,0.012,74,335,0.016
T94890,2,168.5,1369.0,0.068,0.012,70,357,0.018
T93454,2,162.8,1368.0,0.024,0.012,54,200,0.01
T91698,2,172.2,1356.0,0.045,0.012,79,267,0.017
T97668,2,155.7,1379.0,0.028,0.012,89,334,0.021
T97331,1,170.8,1424.0,0.061,0.012,94,367,0.024
T96450,1,169.8,1391.0,0.022,0.012,70,339,0.014
T93454,1,170.2,1324.0,0.043,0.012,67,300,0.017
T92757,2,167.1,1360.0,0.04,0.012,55,266,0.011
T91878,2,160.4,1383.0,0.025,0.012,75,308,0.017
T98392,1,169.1,,0.039,0.012,88,346,0.024
T97546,1,162.1,1309.0,0.06,0.012,68,336,0.017
T97949,2,166.4,1352.0,0.027,0.012,80,363,0.02
T94152,2,159.9,1350.0,0.069,0.012,40,313,0.015
T95297,2,162.6,1411.0,0.023,0.012,58,326,0.014
T92059,2,164.0,1379.0,0.034,0.012,76,243,0.015
T92930,1,167.8,1366.0,0.059,0.012,51,283,0.015
T96734,2,169.0,1362.0,0.038,0.012,60,383,0.018
T96172,2,176.9,1381.0,0.044,0.012,61,353,0.02
T91189,1,166.0,1375.0,0.029,0.012,76,369,0.015
T98554,1,158.4,1381.0,0.056,0.012,71,297,0.019
T91663,1,170.6,1378.0,0.029,0.012,63,399,0.016
T95426,2,167.4,1396.0,0.062,0.012,63,336,0.019
T92734,2,163.7,1371.0,0.047,0.012,57,286,0.012
T92585,2,162.2,,0.047,0.012,70,341,0.022
T97863,2,160.7,1379.0,0.067,0.012,75,358,0.019
T97235,1,160.4,,0.059,0.012,79,347,0.019
T97374,1,156.5,,0.057,0.012,90,284,0.018
T96675,2,171.8,1368.0,0.063,0.012,76,321,0.017
T96390,2,168.0,1369.0,0.025,0.012,57,372,0.016
T96618,2,165.7,1397.0,0.056,0.012,76,299,0.021
T91878,1,160.7,1376.0,0.032,0.012,53,326,0.011
T92059,2,172.6,1347.0,0.034,0.012,68,268,0.014
T96172,1,155.1,1331.0,0.021,0.012,71,366,0.015
T91860,2,164.1,1342.0,0.065,0.012,79,291,0.015
T99110,1,171.9,1353.0,0.057,0.012,78,408,0.021
T94556,1,151.1,1382.0,0.027,0.012,67,362,0.02
T99996,2,166.2,1355.0,0.036,0.012,70,315,0.013
T95658,1,160.4,1401.0,0.044,0.012,81,222,0.018
T98858,1,165.8,1339.0,0.045,0.012,56,317,0.012
T95426,2,162.4,1387.0,0.05,0.012,83,203,0.015
T92998,1,169.2,1323.0,0.044,0.012,75,295,0.017
T97235,2,173.6,1342.0,0.052,0.012,47,413,0.016
T91197,1,182.6,1345.0,0.064,0.012,73,310,0.016
T94890,1,164.2,1345.0,0.04,0.012,83,289,0.019
T92986,1,170.2,1354.0,0.064,0.012,94,300,0.023
T96276,1,167.4,1390.0,0.031,0.012,63,340,0.014
T92899,2,167.9,1388.0,0.026,0.012,76,325,0.016
T91775,2,175.3,,0.032,0.012,77,424,0.019
T94843,2,160.2,1365.0,0.03,0.012,77,342,0.021
T91502,1,162.5,1381.0,0.069,0.012,67,329,0.02
T99800,1,163.8,1365.0,0.039,0.012,69,314,0.016
T92291,2,158.1,1409.0,0.053,0.012,66,313,0.017
T96116,2,165.0,1380.0,0.055,0.012,73,401,0.023
T94843,2,169.6,1348.0,0.042,0.012,76,355,0.021
T99901,2,170.8,1351.0,0.031,0.012,60,255,0.015
T91769,1,163.7,1346.0,0.042,0.012,75,357,0.02
T96575,2,173.0,1353.0,0.044,0.012,75,370,0.02
T99901,1,150.5,1371.0,0.068,0.012,70,422,0.02
T92306,2,181.3,1364.0,0.048,0.012,62,323,0.017
T96450,1,169.0,1358.0,0.068,0.012,57,307,0.019
T96390,2,162.0,1385.0,0.049,0.012,50,377,0.015
T99901,2,168.2,1379.0,0.027,0.012,54,312,0.015
T95658,1,163.9,1331.0,0.039,0.012,54,350,0.014
T93558,1,150.4,1338.0,0.06,0.012,77,421,0.025
T94099,2,165.3,1345.0,0.041,0.012,40,335,0.012
T92484,1,171.4,1350.0,0.025,0.012,71,356,0.016
T92028,2,171.7,1354.0,0.025,0.012,54,309,0.012
T93790,1,166.8,1360.0,0.032,0.012,78,237,0.015
T96734,2,171.7,1379.0,0.048,0.012,89,369,0.021
T92028,2,168.0,1342.0,0.062,0.012,74,346,0.021
T97938,2,166.6,1351.0,0.047,0.012,80,369,0.02
T97439,2,160.2,1330.0,0.057,0.012,76,272,0.019
T96116,2,162.6,1347.0,0.052,0.012,53,277,0.015
T95658,2,163.2,1365.0,0.046,0.012,79,342,0.02
T91663,2,167.0,1348.0,0.031,0.012,75,320,0.017
T93695,2,170.6,1344.0,0.064,0.012,75,259,0.019
T99338,1,160.7,1357.0,0.034,0.012,71,268,0.014
T92998,1,155.3,1376.0,0.033,0.012,63,307,0.016
T92734,1,175.1,1347.0,0.033,0.012,73,295,0.011
T98734,2,158.2,1396.0,0.025,0.012,83,261,0.018
T98280,2,168.4,1349.0,0.045,0.012,60,277,0.015
T96051,2,166.8,1360.0,0.036,0.012,68,316,0.013
T96393,1,162.6,1399.0,0.046,0.012,66,323,0.015
T96864,1,169.3,1384.0,0.043,0.012,72,263,0.014
T94890,1,156.5,1367.0,0.046,0.012,79,361,0.02
T98994,1,176.4,1379.0,0.035,0.012,72,343,0.015
T98035,1,183.4,1338.0,0.061,0.012,87,326,0.022
T98892,2,173.6,1415.0,0.047,0.012,64,375,0.021
T98385,1,159.3,1340.0,0.03,0.012,78,351,0.019
T96258,2,148.7,1375.0,0.065,0.012,65,236,0.018
T91860,2,168.3,1398.0,0.025,0.012,57,247,0.011
T91659,2,155.9,1377.0,0.057,0.012,87,362,0.021
T99684,1,162.1,1369.0,0.054,0.012,67,270,0.016
T97863,1,175.7,1398.0,0.024,0.012,60,345,0.01
T99958,2,176.4,1386.0,0.065,0.012,64,340,0.018
T99800,1,177.1,1358.0,0.036,0.012,80,310,0.018
T98994,1,165.7,1409.0,0.057,0.012,84,260,0.022
T94763,2,171.3,1351.0,0.034,0.012,87,321,0.021
T97546,2,151.1,1411.0,0.046,0.012,65,262,0.015
T94843,2,154.5,1385.0,0.069,0.012,68,355,0.019
T97265,2,163.0,1360.0,0.051,0.012,72,392,0.021
T94696,2,170.9,1344.0,0.035,0.012,56,302,0.008
T92998,1,162.0,1374.0,0.043,0.012,73,331,0.018
T96249,2,170.6,1355.0,0.054,0.012,68,375,0.019
T98526,1,156.9,1373.0,0.042,0.012,90,305,0.021
T96618,1,165.7,1389.0,0.066,0.012,64,287,0.015
T95297,2,168.8,1392.0,0.063,0.012,69,350,0.022
T96056,2,170.3,1405.0,0.027,0.012,90,247,0.018
T91769,1,161.8,1344.0,0.059,0.012,61,237,0.016
T94152,2,165.2,1376.0,0.067,0.012,72,236,0.016
T93612,1,154.2,1335.0,0.036,0.012,78,308,0.018
T91854,2,164.3,1370.0,0.032,0.012,64,323,0.018
T96463,2,172.6,1331.0,0.02,0.012,80,289,0.018
T92707,1,163.2,1423.0,0.026,0.012,67,263,0.013
T94556,1,159.8,1402.0,0.068,0.012,69,334,0.021
T92291,2,170.5,1331.0,0.04,0.012,48,278,0.009
T92291,2,181.0,1354.0,0.039,0.012,71,347,0.019
T93693,2,180.2,1388.0,0.033,0.012,60,384,0.017
T97863,1,166.8,1376.0,0.028,0.012,59,384,0.016
T99006,2,170.4,1370.0,0.045,0.012,79,340,0.02
T91466,2,176.5,1376.0,0.056,0.012,75,330,0.017
T99958,2,166.7,1391.0,0.048,0.012,57,301,0.014
T93433,2,168.2,1420.0,0.022,0.012,54,334,0.015
T97331,1,162.7,1342.0,0.06,0.012,47,359,0.017
T98526,1,181.6,,0.067,0.012,84,373,0.021
T91663,1,170.0,,0.042,0.012,40,388,0.014
T94696,2,163.1,1369.0,0.038,0.012,74,301,0.015
T98892,2,161.0,1411.0,0.031,0.012,54,379,0.017
T97184,2,152.0,1382.0,0.035,0.012,82,298,0.019
T92059,1,153.9,1389.0,0.052,0.012,81,353,0.021
T94696,1,159.9,1375.0,0.059,0.012,60,315,0.013
T94385,1,171.5,1352.0,0.037,0.012,62,274,0.013
T99322,1,167.3,1332.0,0.037,0.012,68,406,0.022
T93047,2,156.2,1406.0,0.043,0.012,62,380,0.017
T93811,1,158.5,1359.0,0.029,0.012,81,250,0.017
T93047,1,167.0,1365.0,0.066,0.012,70,335,0.019
T92021,2,176.7,1321.0,0.055,0.012,81,303,0.019
T92267,1,157.3,1354.0,0.042,0.012,67,340,0.018
T91698,2,168.2,1373.0,0.026,0.012,87,347,0.023
T94104,2,161.9,1379.0,0.062,0.012,51,361,0.017
T93433,2,162.1,1410.0,0.044,0.012,64,269,0.015
T97439,2,156.8,1364.0,0.06,0.012,78,227,0.017
T91206,2,169.4,1367.0,0.022,0.012,60,359,0.015
T99006,1,161.6,1408.0,0.034,0.012,56,265,0.011
T92021,1,162.5,1399.0,0.051,0.012,49,302,0.013
T97374,2,171.9,1335.0,0.044,0.012,73,318,0.019
T99958,1,172.3,1406.0,0.035,0.012,81,309,0.019
T97668,2,159.9,1330.0,0.03,0.012,65,358,0.017
T98392,1,167.1,1382.0,0.035,0.012,77,243,0.013
T93693,1,171.3,1389.0,0.057,0.012,93,267,0.02
T93047,1,163.7,1375.0,0.029,0.012,81,292,0.021
T97776,1,169.7,1361.0,0.05,0.012,79,306,0.02
T91863,1,162.8,1359.0,0.041,0.012,64,247,0.016
T96450,1,162.6,1308.0,0.058,0.012,65,351,0.017
T91663,1,158.5,1374.0,0.03,0.012,74,254,0.018
T97546,2,177.0,1371.0,0.034,0.012,69,258,0.013
T93047,2,161.6,1408.0,0.04,0.012,75,360,0.02
T91064,2,159.4,1363.0,0.028,0.012,40,302,0.009
T98916,1,157.7,1357.0,0.043,0.012,62,374,0.02
T92707,1,165.6,,0.041,0.012,83,200,0.017
T92930,2,157.9,1349.0,0.07,0.012,47,285,0.016
T91769,2,160.0,1359.0,0.05,0.012,60,370,0.013
T98734,1,170.6,1344.0,0.023,0.012,67,285,0.014
T94242,2,168.1,1385.0,0.043,0.012,48,347,0.012
T98215,2,155.6,1380.0,0.064,0.012,77,282,0.019
T94099,2,170.1,1334.0,0.063,0.012,74,342,0.017
T97776,2,165.2,1372.0,0.068,0.012,46,304,0.012
T92899,1,173.0,1398.0,0.065,0.012,66,416,0.019
T93062,2,174.9,1396.0,0.029,0.012,66,327,0.013
T94385,2,153.7,1344.0,0.02,0.012,77,287,0.016
T96530,2,170.4,1403.0,0.051,0.012,78,270,0.019
T95297,2,176.4,1357.0,0.055,0.012,79,351,0.021
T95282,1,166.5,1371.0,0.027,0.012,82,375,0.019
T93693,2,169.8,1361.0,0.028,0.012,72,275,0.015
T98554,2,166.6,1340.0,0.068,0.012,88,385,0.025
T97278,2,171.9,1351.0,0.067,0.012,77,356,0.023
T98041,2,167.7,1401.0,0.028,0.012,69,323,0.018
T92059,2,150.8,1402.0,0.032,0.012,90,316,0.021
T95297,1,164.2,1387.0,0.065,0.012,60,394,0.019
T98994,2,163.7,1364.0,0.042,0.012,71,338,0.02
T92899,2,170.0,,0.06,0.012,72,328,0.017
T96734,1,173.2,1395.0,0.04,0.012,76,285,0.016
T92636,2,163.4,1367.0,0.057,0.012,64,317,0.015
T99322,1,156.4,1321.0,0.04,0.012,62,418,0.018
T96892,2,167.1,1392.0,0.065,0.012,83,314,0.023
T92059,1,159.6,1401.0,0.036,0.012,56,397,0.018
T97892,1,160.8,1381.0,0.046,0.012,84,207,0.016
T92685,2,181.7,1322.0,0.046,0.012,69,294,0.015
T91202,1,160.3,1375.0,0.052,0.012,73,359,0.02
T94581,2,154.0,1424.0,0.035,0.012,63,350,0.017
T98989,1,169.2,1366.0,0.052,0.012,67,270,0.015
T93027,1,169.9,1419.0,0.027,0.012,82,395,0.021
T92663,2,171.2,1388.0,0.065,0.012,64,494,0.023
T93731,1,170.9,1371.0,0.027,0.012,48,418,0.014
T91663,2,166.0,1405.0,0.062,0.012,70,386,0.022
T97331,1,166.1,1355.0,0.055,0.012,61,266,0.016
T92853,1,171.6,1339.0,0.037,0.012,58,352,0.015
T99800,2,176.3,1340.0,0.036,0.012,62,325,0.015
T92484,2,156.2,1375.0,0.068,0.012,95,353,0.025
T91466,1,160.7,1381.0,0.03,0.012,67,256,0.014
T99006,2,169.4,1353.0,0.056,0.012,64,344,0.017
T99901,2,166.8,1400.0,0.029,0.012,80,300,0.019
T93454,1,152.5,1372.0,0.065,0.012,76,302,0.019
T96191,1,161.0,1391.0,0.057,0.012,83,320,0.021
T96191,2,167.1,1353.0,0.067,0.012,87,243,0.017
T94840,1,165.1,1365.0,0.064,0.012,99,379,0.027
T99433,2,162.5,1326.0,0.047,0.012,61,351,0.018
T97420,2,181.4,1363.0,0.028,0.012,81,319,0.016
T96056,2,164.8,1376.0,0.031,0.012,61,251,0.01
T94840,2,166.6,1356.0,0.03,0.012,67,258,0.013
T98574,2,165.9,1368.0,0.031,0.012,76,368,0.016
T98555,2,166.5,1376.0,0.044,0.012,70,287,0.015
T98555,1,165.3,1357.0,0.063,0.012,74,274,0.016
T91698,2,150.4,,0.021,0.012,67,245,0.013
T98574,1,158.1,1352.0,0.032,0.012,59,322,0.014
T91854,2,162.8,1346.0,0.05,0.012,79,276,0.02
T91202,1,170.7,1401.0,0.063,0.012,55,288,0.017
T92016,1,162.9,1334.0,0.035,0.012,87,368,0.021
T98858,1,159.2,1391.0,0.039,0.012,69,319,0.017
T95282,2,171.6,1336.0,0.039,0.012,82,244,0.016
T98629,1,174.5,1408.0,0.035,0.012,93,295,0.02
T91466,1,154.3,1384.0,0.055,0.012,72,333,0.017
T96232,2,165.7,1361.0,0.053,0.012,57,340,0.019
T94099,1,146.3,1394.0,0.062,0.012,84,410,0.026
T93433,1,162.8,1397.0,0.066,0.012,67,353,0.021
T93911,2,178.2,,0.065,0.012,55,329,0.017
T96618,1,165.6,1382.0,0.047,0.012,81,372,0.023
T96915,1,155.3,1376.0,0.029,0.012,77,358,0.02
T99004,2,155.5,1405.0,0.031,0.012,72,200,0.016
T92059,1,158.5,,0.05,0.012,60,284,0.015
T98629,1,160.3,1373.0,0.066,0.012,84,313,0.022
T91663,1,151.8,1392.0,0.047,0.012,82,241,0.017
T91064,1,167.3,1362.0,0.067,0.012,69,274,0.017
T91663,2,168.8,1398.0,0.033,0.012,89,362,0.023
T96592,2,162.5,1392.0,0.024,0.012,81,299,0.017
T96675,2,179.3,1441.0,0.06,0.012,61,344,0.015
T99755,2,162.0,1367.0,0.064,0.012,64,332,0.02
T99164,1,173.4,1385.0,0.042,0.012,74,373,0.019
T96915,2,155.3,1382.0,0.025,0.012,68,305,0.016
T97439,2,167.1,1390.0,0.022,0.012,72,378,0.02
T97949,1,168.2,1368.0,0.023,0.012,57,378,0.013
T95389,1,160.0,1382.0,0.042,0.012,61,266,0.015
T96463,1,166.2,1374.0,0.032,0.012,70,342,0.015
T92707,2,160.0,1392.0,0.043,0.012,73,313,0.015
T98554,1,162.8,1322.0,0.044,0.012,72,296,0.017
T91698,1,163.0,1364.0,0.043,0.012,54,399,0.019
T92930,1,155.2,1423.0,0.051,0.012,71,330,0.018
T98392,2,168.7,1409.0,0.054,0.012,81,256,0.019
T95282,2,169.1,1378.0,0.04,0.012,65,340,0.016
T91663,2,162.4,1385.0,0.037,0.012,61,324,0.014
T98555,2,166.7,1383.0,0.038,0.012,64,276,0.014
T99004,2,158.6,1386.0,0.024,0.012,66,362,0.015
T91863,2,156.2,1348.0,0.036,0.012,84,346,0.022
T93747,2,162.2,,0.03,0.012,54,241,0.009
T97546,1,169.8,,0.035,0.012,57,338,0.014
T92528,1,164.5,1359.0,0.056,0.012,44,284,0.011
T98555,1,161.9,1409.0,0.069,0.012,84,326,0.02
T96977,2,167.3,1341.0,0.066,0.012,73,280,0.017
T96463,2,158.6,1419.0,0.061,0.012,55,343,0.017
T99958,1,156.4,1380.0,0.057,0.012,67,352,0.018
T97585,1,162.5,1341.0,0.067,0.012,75,296,0.02
T91854,2,159.0,1356.0,0.058,0.012,77,290,0.019
T93612,2,156.7,,0.044,0.012,82,310,0.02
T97396,2,171.3,1338.0,0.05,0.012,50,337,0.015
T93612,2,180.4,1361.0,0.035,0.012,82,297,0.016
T97776,2,154.1,1342.0,0.02,0.012,49,314,0.009
T98721,2,162.1,1386.0,0.038,0.012,81,244,0.019
T98385,2,166.2,1342.0,0.04,0.012,80,327,0.017
T93511,2,153.0,1332.0,0.057,0.012,98,287,0.02
T97420,1,163.4,1407.0,0.063,0.012,65,332,0.02
T99755,2,163.9,1362.0,0.068,0.012,61,342,0.016
T92663,2,168.4,1360.0,0.038,0.012,73,361,0.019
T98392,2,159.6,1382.0,0.068,0.012,71,313,0.02
T95636,1,161.0,1369.0,0.06,0.012,96,288,0.026
T92059,1,171.8,1349.0,0.022,0.012,53,393,0.012
T95297,2,167.9,,0.05,0.012,61,372,0.019
T99226,1,170.1,1388.0,0.038,0.012,57,313,0.014
T94005,1,152.7,1346.0,0.022,0.012,75,372,0.022
T93454,1,160.3,1369.0,0.047,0.012,64,351,0.018
T99322,2,175.6,1412.0,0.049,0.012,75,404,0.02
T96675,2,164.4,1363.0,0.033,0.012,77,354,0.019
T92930,2,164.1,1401.0,0.067,0.012,76,337,0.023
T97396,2,164.4,1345.0,0.051,0.012,69,301,0.017
T93734,2,176.0,1375.0,0.029,0.012,78,334,0.017
T92528,2,159.8,1401.0,0.056,0.012,72,279,0.019
T95426,2,169.7,1356.0,0.045,0.012,64,368,0.017
T98125,1,166.8,1418.0,0.044,0.012,64,282,0.014
T92734,2,155.4,1369.0,0.062,0.012,66,350,0.019
T94510,2,162.9,1341.0,0.027,0.012,87,312,0.021
T91064,2,159.2,,0.045,0.012,70,355,0.018
T96575,2,156.1,1410.0,0.059,0.012,71,360,0.022
T92930,2,173.4,1339.0,0.053,0.012,69,347,0.018
T97736,2,156.5,1381.0,0.02,0.012,57,317,0.013
T91391,2,170.2,1353.0,0.059,0.012,50,350,0.014
T92707,2,159.0,1344.0,0.067,0.012,74,263,0.014
